task_id,prompt_id,candidate_index,requested_vocal,prompt_split,evpd_cache_index,sigma,demucs_score,panns_score,candidate_present,target_status
dev_0000__cand00,dev_0000,0,1,val,0,0.8,0.20375347137451172,0.11329401284456253,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand01,dev_0000,1,1,val,1,0.8,0.09669966250658035,0.3173433840274811,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand02,dev_0000,2,1,val,2,0.8,0.21290580928325653,0.13985970616340637,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand03,dev_0000,3,1,val,3,0.8,0.42648303508758545,0.12849636375904083,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand04,dev_0000,4,1,val,4,0.8,0.8765512704849243,0.14518925547599792,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand05,dev_0000,5,1,val,5,0.8,0.4063560366630554,0.11136686056852341,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand06,dev_0000,6,1,val,6,0.8,0.5100917816162109,0.4685826599597931,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand07,dev_0000,7,1,val,7,0.8,0.156007781624794,0.1661560833454132,1,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand00,dev_0001,0,0,train,8,0.8,0.00018161845218855888,0.02802371233701706,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand01,dev_0001,1,0,train,9,0.8,0.003637456800788641,0.019862500950694084,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand02,dev_0001,2,0,train,10,0.8,0.19118662178516388,0.02376779541373253,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand03,dev_0001,3,0,train,11,0.8,7.04979765941971e-06,0.02194393053650856,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand04,dev_0001,4,0,train,12,0.8,1.6656010757287731e-06,0.02925131469964981,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand05,dev_0001,5,0,train,13,0.8,0.22407612204551697,0.3843204975128174,1,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand06,dev_0001,6,0,train,14,0.8,1.0489565056559513e-06,0.013856927864253521,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand07,dev_0001,7,0,train,15,0.8,1.9147564671584405e-06,0.022370776161551476,0,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand00,dev_0002,0,1,train,16,0.8,0.18099191784858704,0.5004521012306213,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand01,dev_0002,1,1,train,17,0.8,0.3276047110557556,0.0953754261136055,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand02,dev_0002,2,1,train,18,0.8,0.6826176643371582,0.47589564323425293,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand03,dev_0002,3,1,train,19,0.8,0.2719093859195709,0.16082367300987244,1,PENDING_PROMOTED_INSTRUMENT
