unit_id,prompt_rank,prompt_id,live_stratum,requested_vocal,policy_index,policy,rep,seed,nominal_step_budget,output_ledger
w2live_00_0_0,0,held_out_0238,instrumental_risk,0,0,no_probe_reseed,0,2035000000,60,live_ledgers/live_w{worker}.jsonl
w2live_00_0_1,0,held_out_0238,instrumental_risk,0,0,no_probe_reseed,1,2035000001,60,live_ledgers/live_w{worker}.jsonl
w2live_00_1_0,0,held_out_0238,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035000000,60,live_ledgers/live_w{worker}.jsonl
w2live_00_1_1,0,held_out_0238,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035000001,60,live_ledgers/live_w{worker}.jsonl
w2live_00_2_0,0,held_out_0238,instrumental_risk,0,2,always_direction_condition,0,2035000000,60,live_ledgers/live_w{worker}.jsonl
w2live_00_2_1,0,held_out_0238,instrumental_risk,0,2,always_direction_condition,1,2035000001,60,live_ledgers/live_w{worker}.jsonl
w2live_00_3_0,0,held_out_0238,instrumental_risk,0,3,corrected_probe_direction_action,0,2035000000,60,live_ledgers/live_w{worker}.jsonl
w2live_00_3_1,0,held_out_0238,instrumental_risk,0,3,corrected_probe_direction_action,1,2035000001,60,live_ledgers/live_w{worker}.jsonl
w2live_01_0_0,1,held_out_0094,instrumental_risk,0,0,no_probe_reseed,0,2035000100,60,live_ledgers/live_w{worker}.jsonl
w2live_01_0_1,1,held_out_0094,instrumental_risk,0,0,no_probe_reseed,1,2035000101,60,live_ledgers/live_w{worker}.jsonl
w2live_01_1_0,1,held_out_0094,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035000100,60,live_ledgers/live_w{worker}.jsonl
w2live_01_1_1,1,held_out_0094,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035000101,60,live_ledgers/live_w{worker}.jsonl
w2live_01_2_0,1,held_out_0094,instrumental_risk,0,2,always_direction_condition,0,2035000100,60,live_ledgers/live_w{worker}.jsonl
w2live_01_2_1,1,held_out_0094,instrumental_risk,0,2,always_direction_condition,1,2035000101,60,live_ledgers/live_w{worker}.jsonl
w2live_01_3_0,1,held_out_0094,instrumental_risk,0,3,corrected_probe_direction_action,0,2035000100,60,live_ledgers/live_w{worker}.jsonl
w2live_01_3_1,1,held_out_0094,instrumental_risk,0,3,corrected_probe_direction_action,1,2035000101,60,live_ledgers/live_w{worker}.jsonl
w2live_02_0_0,2,held_out_0117,instrumental_risk,0,0,no_probe_reseed,0,2035000200,60,live_ledgers/live_w{worker}.jsonl
w2live_02_0_1,2,held_out_0117,instrumental_risk,0,0,no_probe_reseed,1,2035000201,60,live_ledgers/live_w{worker}.jsonl
w2live_02_1_0,2,held_out_0117,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035000200,60,live_ledgers/live_w{worker}.jsonl
