task_id,prompt_id,condition,seed_idx,seed,output_path,apparent_violation,candidate_violation,implementation_role
w2fact_20_0_00,held_out_0009,plain_baseline,0,2034020000,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s00_2034020000.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_20_0_01,held_out_0009,plain_baseline,1,2034020001,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s01_2034020001.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_20_0_02,held_out_0009,plain_baseline,2,2034020002,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s02_2034020002.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_20_0_03,held_out_0009,plain_baseline,3,2034020003,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s03_2034020003.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_20_0_04,held_out_0009,plain_baseline,4,2034020004,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s04_2034020004.flac,1,0,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_20_0_05,held_out_0009,plain_baseline,5,2034020005,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s05_2034020005.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_20_0_06,held_out_0009,plain_baseline,6,2034020006,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s06_2034020006.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_20_0_07,held_out_0009,plain_baseline,7,2034020007,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s07_2034020007.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_20_0_08,held_out_0009,plain_baseline,8,2034020008,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s08_2034020008.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_20_0_09,held_out_0009,plain_baseline,9,2034020009,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s09_2034020009.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY
