task_id,prompt_rank,prompt_id,condition_index,condition,seed_idx,seed,cfg_scale,text_intervention,duration_seconds,output_path
w2fact_00_0_00,0,held_out_0238,0,plain_baseline,0,2034000000,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s00_2034000000.flac
w2fact_00_0_01,0,held_out_0238,0,plain_baseline,1,2034000001,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s01_2034000001.flac
w2fact_00_0_02,0,held_out_0238,0,plain_baseline,2,2034000002,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s02_2034000002.flac
w2fact_00_0_03,0,held_out_0238,0,plain_baseline,3,2034000003,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s03_2034000003.flac
w2fact_00_0_04,0,held_out_0238,0,plain_baseline,4,2034000004,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s04_2034000004.flac
w2fact_00_0_05,0,held_out_0238,0,plain_baseline,5,2034000005,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s05_2034000005.flac
w2fact_00_0_06,0,held_out_0238,0,plain_baseline,6,2034000006,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s06_2034000006.flac
w2fact_00_0_07,0,held_out_0238,0,plain_baseline,7,2034000007,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s07_2034000007.flac
w2fact_00_0_08,0,held_out_0238,0,plain_baseline,8,2034000008,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s08_2034000008.flac
w2fact_00_0_09,0,held_out_0238,0,plain_baseline,9,2034000009,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s09_2034000009.flac
w2fact_00_0_10,0,held_out_0238,0,plain_baseline,10,2034000010,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s10_2034000010.flac
w2fact_00_0_11,0,held_out_0238,0,plain_baseline,11,2034000011,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s11_2034000011.flac
w2fact_00_0_12,0,held_out_0238,0,plain_baseline,12,2034000012,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s12_2034000012.flac
w2fact_00_0_13,0,held_out_0238,0,plain_baseline,13,2034000013,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s13_2034000013.flac
w2fact_00_0_14,0,held_out_0238,0,plain_baseline,14,2034000014,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s14_2034000014.flac
w2fact_00_0_15,0,held_out_0238,0,plain_baseline,15,2034000015,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s15_2034000015.flac
w2fact_00_1_00,0,held_out_0238,1,negative_text,0,2034000000,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0238/negative_text_s00_2034000000.flac
w2fact_00_1_01,0,held_out_0238,1,negative_text,1,2034000001,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0238/negative_text_s01_2034000001.flac
