pair_id,prompt_id,seed_idx,baseline_path,comparison_path,comparison_condition,selection_role
factorial_spot_00,held_out_0238,0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s00_2034000000.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s00_2034000000.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
factorial_spot_01,held_out_0094,1,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s01_2034001001.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0094/positive_sampler_v2_s01_2034001001.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
factorial_spot_02,held_out_0117,2,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0117/plain_baseline_s02_2034002002.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0117/positive_sampler_v2_s02_2034002002.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
factorial_spot_04,held_out_0041,4,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s04_2034004004.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0041/positive_sampler_v2_s04_2034004004.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
factorial_spot_05,held_out_0156,5,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0156/plain_baseline_s05_2034005005.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0156/positive_sampler_v2_s05_2034005005.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
factorial_spot_07,held_out_0088,7,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0088/plain_baseline_s07_2034007007.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0088/positive_sampler_v2_s07_2034007007.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
factorial_spot_10,held_out_0046,10,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0046/plain_baseline_s10_2034010010.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0046/positive_sampler_v2_s10_2034010010.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
factorial_spot_11,held_out_0222,11,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0222/plain_baseline_s11_2034011011.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0222/positive_sampler_v2_s11_2034011011.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
factorial_spot_13,held_out_0236,13,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0236/plain_baseline_s13_2034013013.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0236/positive_sampler_v2_s13_2034013013.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
factorial_spot_14,held_out_0207,14,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0207/plain_baseline_s14_2034014014.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0207/positive_sampler_v2_s14_2034014014.flac,positive_sampler,apparent_candidate_only_not_promotion_evidence
