rating_id,pair_id,prompt_id,seed_idx,baseline_path,comparison_path,comparison_condition,arm_a,arm_b,media_a_sha256,media_b_sha256,position,shuffle_seed,nonce_sha256,analysis_role
r_9767808e819510cf347f,factorial_spot_05,held_out_0156,5,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0156/plain_baseline_s05_2034005005.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0156/positive_sampler_v2_s05_2034005005.flac,positive_sampler,comparison,baseline,cce61220f9abe5593cac21fecda82c09e85d1cd43f670b4de9b63bf7dbc12a11,a9ab66a5c390c481e44eec21cd3a601208dee9ed1dcb040746431556b873b6f2,1,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_0b7a0d44684950af1f01,factorial_spot_13,held_out_0236,13,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0236/plain_baseline_s13_2034013013.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0236/positive_sampler_v2_s13_2034013013.flac,positive_sampler,baseline,comparison,a6498b07224f56c8685fc8c1f4dc29622da34a2076bb8e503860c8f61ae49383,0db64980f16830847dfd0605c3df2f264bb32048f2271227b5a6820f1b3a9fa5,2,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_e449e26eabbdae368b41,factorial_spot_30,held_out_0061,14,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0061/plain_baseline_s14_2034030014.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0061/positive_sampler_v2_s14_2034030014.flac,positive_sampler,comparison,baseline,a67d74ac7f12a67495267f01f42be82b23c174b81b9e106c4808db6d512dbb9e,3fab8f3898d3f49569301499c2ad197ce869bac6e16524d93ba70db2196079a2,3,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_a40ccf08fd229340d662,factorial_spot_02,held_out_0117,2,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0117/plain_baseline_s02_2034002002.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0117/positive_sampler_v2_s02_2034002002.flac,positive_sampler,baseline,comparison,f92fd72d7af114959627be73dd4e227e4acfc49d6a8e82d36d160fc689a15b3b,f94fb031fef9e7a64a86c3c7615b166af5ba8ded6e69ac0e390e3f0fd349f12f,4,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_6acd3c502ed815fd919a,factorial_spot_14,held_out_0207,14,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0207/plain_baseline_s14_2034014014.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0207/positive_sampler_v2_s14_2034014014.flac,positive_sampler,comparison,baseline,40be5f8b4fd56d8bd049d634d058db6724e4ce066aab210786269f9439dee17f,c351e3134802f7f4a10c6c7eb1e806246bd04889cc965cb3a54ed397fd1776c5,5,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_9f877f2a071c3c9a793b,factorial_spot_24,held_out_0109,8,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0109/plain_baseline_s08_2034024008.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0109/positive_sampler_v2_s08_2034024008.flac,positive_sampler,comparison,baseline,9db86a879cf27e4c4e47178efaf30adf066026139a6198634e807936f3ccae76,11d12acfea6757ccbe6b209ed0307faaef69eea0a8a6bf24719b4977976f2aa5,6,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_bc7cd44f3cb610b2b9b3,factorial_spot_21,held_out_0178,5,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0178/plain_baseline_s05_2034021005.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0178/positive_sampler_v2_s05_2034021005.flac,positive_sampler,comparison,baseline,1e68184dc1f762674c16608d590f82e4503aca01a77f122f605a2131d433ddec,7b37c31b501150582d8cb109d902ad40150bf3ab9a5e58c6c990daa1ed50e3bd,7,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_766acb9a9b6840c61875,factorial_spot_00,held_out_0238,0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0238/plain_baseline_s00_2034000000.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s00_2034000000.flac,positive_sampler,comparison,baseline,774900118b7a8998d1a60d80d5ec9499eb54316bad6ef0143443afa6c86012bd,38c63c6fc43b1f10a8eebe55ea29dac7b9918f24bdd926e6ee332db75334e938,8,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_e2b59689b9b4c39ac5ef,factorial_spot_22,held_out_0206,6,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0206/plain_baseline_s06_2034022006.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0206/positive_sampler_v2_s06_2034022006.flac,positive_sampler,baseline,comparison,2d33e72f206f40c5c28bc71a44405ce9a6ebb50662ad04759df084a355ce02cf,1c2a56015be23b49ef60045c6bbf060615cceaf8a9c629e7a2f282daa1d05174,9,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_754ace5ca37c7f3acc6c,factorial_spot_19,held_out_0124,3,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0124/plain_baseline_s03_2034019003.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0124/positive_sampler_v2_s03_2034019003.flac,positive_sampler,baseline,comparison,982108d2b8d9eb748a0b8a26894bae1c88c6c01f6dea4efbfa0af6c04e102e89,226fb3f873c360ee69dfd4be5749f1570423b56692a047150b82e389ccd5257d,10,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
